species,longitude,latitude
harm,709895.7775,3067057.802
harm,709745.9486,3066990.811
harm,709584.654,3066952.444
harm,709615.6871,3066821.736
harm,708700.4212,3065050.389
harm,708066.792,3064968.693
harm,727815.4116,3067058.964
harm,615588.9581,3059002.467
harm,601551.8384,3069404.744
harm,601294.4626,3069285.894
harm,601184.9495,3069284.98
harm,606456.0384,3067474.649
harm,642006.1854,3066870.72
harm,778819.2849,3062548.352
harm,775946.2158,3069189.394
harm,772492.7843,3065450.435
harm,772322.4345,3059668.477
harm,905345.9633,3067958.507
harm,917530.6862,3069696.367
harm,916121.6259,3063877.428
harm,537221.9855,3054150.391
harm,541021.4058,3056070.623
harm,539695.6713,3055601.915
harm,532294.9061,3048512.914
harm,533839.8316,3048036.166
harm,565430.6425,3054481.713
harm,658959.2035,3048904.811
harm,640390.9764,3050807.981
harm,779787.3604,3054623.589
harm,901658.4189,3048155.627
harm,906568.421,3050230.312
harm,829593.0598,3047539.568
harm,899242.88,3052469.727
harm,913446.2762,3047134.774
harm,925588.0727,3057221.732
harm,544750.9906,3041560.051
harm,541373.9547,3036358.801
harm,524548.7291,3036703.622
harm,535806.2666,3040472.505
harm,536385.6762,3041720.365
harm,543903.4321,3038565.883
harm,547707.2581,3038868.392
harm,553549.7034,3035874.371
harm,628964.8748,3043854.841
harm,628574.4674,3044466.431
harm,628575.0571,3044523.165
harm,628638.8178,3044593.968
harm,614097.1547,3037384.701
harm,614092.8728,3037922.022
harm,899492.9808,3043704.7
harm,832808.4973,3044264.821
harm,832842.1547,3044295.765
harm,844296.8924,3036600.761
harm,842223.5593,3045223.042
harm,852322.2764,3035896.367
harm,851462.506,3035966.191
harm,852649.8449,3046525.641
harm,852645.47,3046595.425
harm,897004.4367,3043294.959
harm,918740.1534,3044814.337
harm,813268.7483,3037717.643
harm,829146.6306,3043805.39
harm,543618.4296,3030653.312
harm,525213.7351,3028438.067
harm,544063.6003,3027022.155
harm,616714.0271,3032694.08
harm,835252.8613,3027790.59
harm,834973.1621,3028366.703
harm,843803.8499,3027924.401
harm,844077.1788,3028147.31
harm,845184.2345,3027052.766
harm,845022.6116,3027176.005
harm,844861.5245,3026977.386
harm,814566.7195,3027757.251
harm,814524.3257,3027897.922
harm,814462.1721,3027950.264
harm,816391.6014,3030103.743
harm,816343.1977,3030102.808
harm,801226.2551,3029185.395
harm,819032.5907,3029729.926
harm,835196.0866,3027354.182
harm,821235.4786,3028616.082
harm,821652.8132,3028442.056
harm,828487.3485,3028098.312
harm,900681.229,3027487.887
harm,521732.1749,3017260.456
harm,513318.3136,3021095.501
harm,510144.5624,3023774.465
harm,535809.7416,3021438.613
harm,534655.9047,3021281.48
harm,645371.4714,3021595.815
harm,835183.8964,3021421.933
harm,830810.5166,3023349.546
harm,830818.6014,3023226.784
harm,822101.5714,3022844.941
harm,816952.5005,3022865.872
harm,831210.1628,3020989.953
harm,831566.2776,3021061.138
harm,832312.6427,3020957.89
harm,841399.7328,3018030.601
harm,850667.213,3015731.024
harm,860338.9202,3012956.346
harm,826915.0284,3023032.994
harm,831757.6574,3013915.943
harm,831722.703,3014192.39
harm,887475.7549,3012818.247
harm,693262.9053,3007537.395
harm,665276.2273,3001038.457
harm,883470.2806,3012138.742
harm,882360.4466,3009668.353
harm,886525.6149,3009673.887
harm,772554.7889,3008729.697
harm,767318.2141,3012485.806
harm,854156.0741,3006458.704
harm,854096.4112,3008553.257
harm,856010.561,3003336.392
harm,866670.0716,3010490.318
harm,870861.7111,3011416.452
harm,870692.7305,3011534.738
harm,870993.945,3011605.402
harm,871020.5774,3011637.032
harm,880948.7866,3007127.214
harm,881012.4123,3006851.634
harm,881893.3809,3006015.218
harm,513181.4393,2999877.116
harm,707942.4581,2992577.047
harm,783142.5353,2992638.192
harm,783356.6424,2992892.564
harm,783292.6076,2993125.538
harm,851227.6805,2995864.015
harm,851525.8734,2996057.359
harm,851441.3912,2996116.633
harm,873835.2734,2999634.549
harm,697621.4727,2985505.683
harm,698127.0592,2985330.804
harm,677864.7313,2987063.943
harm,677873.9105,2987019.44
harm,746263.1452,2979095.365
harm,836136.9271,2987404.566
harm,877252.6145,2974943.585
harm,876766.0705,2975120.186
harm,876777.3169,2975114.356
harm,882281.1851,2977944.452
harm,793941.0761,2967029.661
harm,797533.8635,2968295.605
harm,846646.9427,2974837.589
harm,817829.7963,2966620.267
harm,819732.1333,2966853.172
harm,766982.2574,2960268.799
harm,717629.1133,2957199.73
harm,831805.7713,2961986.028
harm,831741.6333,2961632.21
harm,820312.1143,2962554.556
harm,765119.3893,2947509.867
harm,812506.7615,2951273.905
harm,812160.8528,2951636.763
harm,812238.6154,2951546.721
harm,749427.131,2940356.187
harm,745950.5366,2939703.609
harm,691141.5788,2933470.403
harm,740606.1304,2939680.716
harm,739487.8982,2938582.645
harm,743210.6563,2938644.723
harm,772727.617,2938110.627
harm,772694.9294,2938496.096
harm,687467.7364,2929045.13
harm,780168.3288,2922109.848
harm,780119.7563,2922132.692
harm,780039.7422,2922149.798
harm,743701.6867,2913587.475
harm,743696.3145,2913541.914
harm,743731.8376,2913550.877
harm,743722.2476,2913694.59
harm,743690.2426,2913726.242
harm,739828.6215,2912347.99
harm,739879.5038,2912490.709
harm,829594.4534,2918676.95
harm,736264.5606,2906018.505
harm,735999.5889,2905997.339
harm,736180.4206,2905723.845
harm,744693.6181,2905933.18
harm,898833.8457,2866866.03
harm,901713.8533,2871875.391
harm,901685.3042,2871890.645
harm,901661.1589,2871896.844
harm,909418.7366,2869931.656
harm,909352.3232,2869860.841
harm,909333.9879,2869879.114
harm,908736.7722,2868912.483
harm,908703.6219,2868811.375
harm,908669.1481,2868761.822
harm,908664.348,2868704.341
harm,908670.1707,2868553.992
harm,908355.0144,2868035.703
harm,892137.9742,2855216.562
harm,887808.6371,2854725.878
harm,887850.0552,2854668.453
harm,887842.6123,2854646.035
harm,887842.8381,2854664.016
harm,897404.0564,2858335.506
harm,897285.0902,2857648.429
harm,904936.076,2840328.446
harm,904987.0408,2840220.188
harm,905104.9338,2840222.889
harm,905085.4276,2840126.544
harm,904923.9368,2839828.852
harm,904638.4563,2844678.213
harm,906452.6042,2850873.224
harm,907560.3339,2849787.121
harm,907598.5095,2849759.463
harm,907719.7332,2849717.709
harm,846186.7547,2829725.655
harm,638050.9465,2782996.961
harm,644389.3171,2774170.891
harm,647334.0679,2779125.345
harm,767282.4249,3209342.776
harm,788407.5176,3202838.118
harm,816807.2584,3195148.115
harm,698455.3316,3183616.864
harm,775314.1736,3180996.165
harm,697190.9585,3164355.271
harm,640322.4512,3156809.963
harm,679710.4814,3148131.498
harm,909579.6782,3127850.81
harm,637476.7401,3118765.694
harm,667101.623,3113203.656
harm,856328.0091,3116931.337
harm,843026.0996,3114315.749
harm,833752.527,3104182.733
harm,875232.3917,3092535.485
harm,832728.0936,3089091.25
harm,681310.291,3085034.283
harm,877040.4391,3088693.397
harm,727218.065,3082891.935
harm,889193.8483,3085495.099
harm,882661.8134,3077146.743
harm,682971.2914,3068047.19
harm,657017.6236,3060865.362
harm,850769.1121,3064254.263
harm,846951.8602,3062409.963
harm,643566.0015,3054661.269
harm,879252.1616,3050771.75
harm,877260.5194,3044660.173
harm,542778.893,3030657.533
harm,837643.2306,3032633.768
harm,547911.1224,3027673.882
harm,706584.8039,3028725.117
harm,879949.9674,3031128.663
harm,836703.7611,3026288.948
harm,890964.3877,3027301.615
harm,693205.8515,3019807.688
harm,847782.0172,3019647.766
harm,883248.5894,3019488.992
harm,845584.3949,3014283.383
harm,833335.3641,3012817.145
harm,658321.4007,3009345.313
harm,866021.7605,3010932.992
harm,776316.9735,3006614.36
harm,861870.6407,3008123.747
harm,869743.4386,3007558.754
harm,837180.0743,3005014.072
harm,907782.8572,3006902.814
harm,878862.6557,3005568.02
harm,866190.2244,3004199.076
harm,858882.8469,3003151.581
harm,841572.4831,3002388.59
harm,875648.7506,3002736.165
harm,460230.1959,2991236.471
harm,782171.6732,2993020.863
harm,830086.8535,2994132.191
harm,901025.9696,2995751.717
harm,669777.5345,2989064.229
harm,836301.1626,2991221.884
harm,912475.1432,2991626.735
harm,696426.9697,2982537.084
harm,904301.2384,2987249.885
harm,846361.5783,2985236.593
harm,846966.8594,2978214.947
harm,905560.959,2976204.016
harm,943460.4306,2977301.069
harm,894155.7054,2969161.783
harm,911597.6144,2965953.716
harm,743009.2995,2955559.722
harm,764119.2265,2953668.229
harm,842374.0525,2934523.614
harm,851645.8812,2921801.536
harm,678400.8915,2915689.014
harm,831264.0071,2911389.653
harm,900000.8402,2868447.471
harm,909125.2819,2866989.408
harm,918542.1016,2864302.889
harm,904574.6514,2851165.598
harm,880501.2673,2844844.133
harm,866982.1844,2842108.203
harm,794831.4165,2792891.268
harm,621419.129,2789793.968
harm,627831.3204,2776246.863
harm,548309.9393,2756217.445
harm,587712.051,2752462.75
