species,longitude,latitude
Sus,506999.4142,3030042.026
Sus,507658.2348,3028185.214
Sus,541177.4109,3022196.864
Sus,685471.1222,3023593.741
Sus,684872.8503,3023185.028
Sus,684716.6203,3022558.311
Sus,703116.2484,3025235.495
Sus,902507.2909,3030631.901
Sus,830526.9671,3029952.361
Sus,839117.9078,3030038.354
Sus,832838.5711,3029900.393
Sus,832013.3711,3026114.849
Sus,842362.9741,3025337.012
Sus,844042.2753,3028251.359
Sus,846395.6597,3032188.919
Sus,851453.0546,3030474.466
Sus,853548.5516,3033141.283
Sus,813916.4573,3029722.729
Sus,814511.0081,3027708.066
Sus,816269.2035,3030230.953
Sus,797113.2312,3026926.054
Sus,801055.7019,3028485.809
Sus,805527.0405,3032181.517
Sus,806577.2335,3032414.692
Sus,808091.0338,3031025.807
Sus,818408.5287,3030453.39
Sus,822105.5853,3022690.957
Sus,822282.118,3023311.914
Sus,816851.7977,3023572.058
Sus,835572.8109,3027672.646
Sus,834905.2177,3026914.776
Sus,821863.1875,3028817.359
Sus,820995.1827,3028332.465
Sus,828523.0588,3027791.064
Sus,828771.01,3028814.73
Sus,827108.4447,3023007.293
Sus,531035.1041,3015210.524
Sus,499667.2041,3011728.751
Sus,499581.9082,3010691.892
Sus,498734.7895,3011439.598
Sus,500376.7714,3012919.454
Sus,500808.6045,3011928.762
Sus,457611.4357,3018033.903
Sus,686417.3298,3008916.881
Sus,884358.3592,3019073.995
Sus,887255.3375,3012811.366
Sus,775746.7404,3010388.696
Sus,767158.8874,3013003.845
Sus,770081.3777,3013201.145
Sus,831742.9703,3020634.389
Sus,842141.3278,3018112.72
Sus,841195.1466,3018456.49
Sus,840330.7579,3018833.396
Sus,845959.3734,3016554.275
Sus,845866.4355,3015935.182
Sus,850944.3276,3015677.217
Sus,860249.1218,3013200.374
Sus,866830.8391,3010649.225
Sus,870830.5344,3010613.857
Sus,832329.0133,3013160.733
Sus,831595.7301,3013788.33
Sus,513380.1109,2999971.167
Sus,509566.1111,2998523.452
Sus,531590.0081,2998101.998
Sus,531753.7597,2998674.688
Sus,714482.2438,2998956.18
Sus,709102.6451,3004253.282
Sus,693618.8593,3003313.988
Sus,692760.9937,3003718.727
Sus,705284.1434,2999657.807
Sus,703513.1111,3000044.071
Sus,705120.3794,3000434.023
Sus,688406.6676,3007891.622
Sus,692967.5703,3008187.911
Sus,657808.1631,3007897.651
Sus,779175.0263,3007541.045
Sus,773956.9218,3005985.18
Sus,773201.9472,3005243.161
Sus,772772.9717,3008566.919
Sus,784925.1776,2998527.75
Sus,852964.3968,2998872.309
Sus,854077.6312,3008244.449
Sus,854419.1438,3008839.904
Sus,855888.5761,3002778.008
Sus,856147.509,3003371.135
Sus,865780.8783,3001338.07
Sus,865520.5094,3000806.307
Sus,839249.3046,3006998.664
Sus,838821.8811,3006493.854
Sus,843959.5626,3005186.179
Sus,826168.1812,3004306.466
Sus,827173.1701,3003839.751
Sus,833581.1087,3007584.992
Sus,875647.7525,3000860.717
Sus,874581.7369,2999595.279
Sus,881104.5406,3006546.089
Sus,900817.4615,3000054.661
Sus,901754.2429,3000667.14
Sus,907339.2315,3006315.872
Sus,510779.4968,2997256.229
Sus,531085.7239,2997159.249
Sus,695722.5938,2986768.527
Sus,696190.824,2987335.213
Sus,677941.1933,2987833.953
Sus,677695.3053,2987285.935
Sus,678251.5773,2991458.608
Sus,681949.0153,2994462.074
Sus,897406.4539,2987978.724
Sus,761507.7396,2993391.436
Sus,761379.7524,2994130.097
Sus,762429.3425,2994328.894
Sus,763688.617,2996272.098
Sus,783920.6948,2993237.445
Sus,780764.5945,2988996.787
Sus,781474.4775,2987885.601
Sus,782841.8322,2987915.179
Sus,853467.2063,2997684.312
Sus,850741.6042,2995480.446
Sus,871322.5864,2995952.057
Sus,871705.9497,2995130.977
Sus,872298.1874,2995641.939
Sus,836508.083,2986952.223
Sus,899103.6406,2995396.084
Sus,686010.5266,2979271.123
Sus,678582.9962,2983404.324
Sus,676714.3251,2978884.868
Sus,735163.9428,2974756.533
Sus,740034.6387,2978543.713
Sus,752668.7987,2981809.476
Sus,872968.6222,2979508.642
Sus,877736.6537,2980927.561
Sus,878469.4568,2982664.012
Sus,881452.1492,2977743.52
Sus,897338.9847,2987238.455
Sus,766115.9471,2984680.771
Sus,765732.1001,2985640.982
Sus,763679.1025,2985391.878
Sus,804126.3245,2975615.437
Sus,802656.2897,2978362.107
Sus,803920.5155,2978311.887
Sus,848198.4696,2977716.185
Sus,848422.3011,2978616.277
Sus,848537.3345,2979451.712
Sus,847280.9778,2979910.112
Sus,846593.0246,2975791.622
Sus,825232.339,2984096.697
Sus,826854.8625,2983306.806
Sus,836873.1938,2985698.392
Sus,900933.3104,2977191.884
Sus,904271.855,2979443.589
Sus,903404.9302,2986227.906
Sus,669908.9957,2962791.998
Sus,702319.8217,2969527.838
Sus,666615.8137,2966186.371
Sus,668318.3087,2972276.984
Sus,672456.5334,2967721.486
Sus,673988.371,2967390.148
Sus,675297.2465,2967970.953
Sus,732195.1931,2974023.99
Sus,728610.9901,2973712.06
Sus,740158.9955,2967676.038
Sus,766336.3065,2963365.904
Sus,733631.2083,2963581.388
Sus,733283.3999,2962959.136
Sus,866233.7755,2973918.464
Sus,796312.2698,2966102.95
Sus,797045.8414,2968534.266
Sus,803970.2041,2974929.224
Sus,803998.493,2972440.468
Sus,804184.2194,2973813.835
Sus,851996.9705,2974338.704
Sus,853007.1345,2974798.534
Sus,942786.3487,2971632.15
Sus,899726.2887,2976027.746
