species,longitude,latitude
Suitability,811765.9579,3189328.038
Suitability,812096.9568,3185509.09
Suitability,812194.1197,3183631.226
Suitability,811774.7076,3189335.979
Suitability,812655.7268,3192619.21
Suitability,812509.9297,3188591.668
Suitability,813014.0496,3186904.144
Suitability,813030.3678,3186601.288
Suitability,813006.1907,3182547.456
Suitability,813709.0425,3193707.388
Suitability,814354.8567,3189720.01
Suitability,814051.8796,3187702.131
Suitability,814251.2504,3185703.406
Suitability,713833.6218,3170884.377
Suitability,732110.8755,3171904.209
Suitability,740166.9066,3179237.077
Suitability,760220.4923,3170584.141
Suitability,720268.2711,3171838.866
Suitability,852753.7545,3172532.447
Suitability,843287.3678,3172799.094
Suitability,852740.5414,3172510.771
Suitability,852741.3256,3172511.719
Suitability,828518.7355,3171427.774
Suitability,821531.2714,3181417.253
Suitability,807714.7124,3178527.442
Suitability,807926.7495,3178319.149
Suitability,808096.5937,3178339.975
Suitability,809396.903,3180182.728
Suitability,809470.9971,3180462.09
Suitability,809438.9294,3180646.166
Suitability,809357.4778,3180644.001
Suitability,809305.626,3180550.159
Suitability,808960.0122,3180263.588
Suitability,815545.8273,3176128.484
Suitability,852753.7545,3172532.447
Suitability,843287.3678,3172799.094
Suitability,852740.5414,3172510.771
Suitability,852741.3256,3172511.719
Suitability,828518.7355,3171427.774
Suitability,816141.7117,3180872.866
Suitability,821531.2714,3181417.253
Suitability,807714.7124,3178527.442
Suitability,807926.7495,3178319.149
Suitability,808096.5937,3178339.975
Suitability,809396.903,3180182.728
Suitability,809470.9971,3180462.09
Suitability,809438.9294,3180646.166
Suitability,809357.4778,3180644.001
Suitability,809305.626,3180550.159
Suitability,808960.0122,3180263.588
Suitability,801169.5047,3171910.024
Suitability,801332.2463,3172093.587
Suitability,801305.3229,3172325.572
Suitability,801350.8478,3172373.591
Suitability,801580.6418,3172687.095
Suitability,801713.526,3172752.475
Suitability,801781.8918,3172747.463
Suitability,805198.4589,3175045.771
Suitability,805266.9465,3175015.203
Suitability,805523.3098,3174910.348
Suitability,805819.1216,3175042.614
Suitability,805900.506,3175038.276
Suitability,806039.8976,3175040.392
Suitability,806119.7155,3175096.115
Suitability,806154.6704,3175183.328
Suitability,806212.0361,3175213.805
Suitability,806272.3186,3175268.091
Suitability,806384.1488,3175408.487
Suitability,806435.0415,3175478.554
Suitability,806525.3311,3175497.57
Suitability,815545.8273,3176128.484
Suitability,815234.9536,3176830.172
Suitability,815217.0636,3177722.631
Suitability,815605.3288,3176533.199
Suitability,805359.8042,3176607.017
Suitability,805089.4881,3175107.025
Suitability,818954.9907,3175195.374
Suitability,820127.5084,3176048.665
Suitability,822262.0867,3178074.429
Suitability,806251.907,3179632.012
Suitability,801550.3273,3172408.02
Suitability,806789.8454,3172177.482
Suitability,807294.3925,3180593.657
Suitability,807500.3691,3178565.854
Suitability,806704.8227,3176382.518
Suitability,807266.9071,3172367.861
Suitability,808401.8625,3179455.144
Suitability,808304.2461,3177630.117
Suitability,809208.5909,3177245.702
Suitability,809434.8323,3174917.007
Suitability,803689.7061,3174466.737
Suitability,810246.6046,3181690.024
Suitability,809932.4177,3175904.787
Suitability,810106.4151,3171658.549
Suitability,810666.2259,3180779.035
Suitability,812165.2443,3179452.185
Suitability,812510.3082,3175745.83
Suitability,804549.299,3175318.197
Suitability,812969.3548,3178743.899
Suitability,813374.3644,3177185.31
Suitability,803630.9553,3174144.378
Suitability,813825.0338,3178062.32
Suitability,599179.7755,3161813.05
Suitability,599341.4635,3161968.312
Suitability,709024.608,3167587.035
Suitability,708864.6286,3166745.833
Suitability,726529.5306,3168147.022
Suitability,733872.5328,3163190.397
Suitability,733949.1389,3163162.765
Suitability,751712.7691,3161007.136
Suitability,751843.889,3161977.081
Suitability,745284.9575,3159521.537
Suitability,759803.362,3164722.856
Suitability,759991.0052,3165587.309
Suitability,759893.0629,3166501.87
Suitability,636494.7304,3159184.755
Suitability,636200.3179,3158558.43
Suitability,636179.4461,3158563.507
Suitability,636179.23,3158582.121
Suitability,636185.1813,3158592.053
Suitability,636168.1577,3158591.855
Suitability,636155.1079,3158586.495
Suitability,636130.5985,3158598.955
Suitability,636082.0665,3158632.523
Suitability,636063.8677,3158640.845
Suitability,636060.5617,3158630.611
Suitability,636052.7477,3158637.835
Suitability,636052.5999,3158650.577
Suitability,636037.0591,3158640.645
Suitability,636033.35,3158622.982
Suitability,636019.9669,3158621.053
Suitability,636016.3807,3158634.975
Suitability,635999.7946,3158630.793
Suitability,635977.5379,3158626.213
Suitability,635922.1093,3158621.692
Suitability,635969.2194,3158634.76
Suitability,635960.7511,3158622.472
Suitability,635959.8031,3158602.958
Suitability,635938.2479,3158596.945
Suitability,635876.1999,3158597.888
Suitability,635822.6274,3158593.611
Suitability,635760.7571,3158596.108
Suitability,635751.5892,3158576.609
Suitability,635727.4055,3158577.88
Suitability,635688.4833,3158584.411
Suitability,635675.1855,3158592.015
Suitability,635836.2374,3158601.304
Suitability,635624.8908,3158591.987
Suitability,635624.7255,3158606.28
Suitability,635600.456,3158614.976
Suitability,635577.3946,3158612.271
Suitability,635555.3552,3158605.811
Suitability,635517.26,3158617.006
Suitability,635561.7236,3158605.109
Suitability,635494.6865,3158614.418
Suitability,635467.7655,3158607.015
Suitability,635432.835,3158623.788
Suitability,635426.5319,3158618.839
Suitability,635300.0386,3158641.98
Suitability,635299.534,3158643.304
Suitability,635262.1408,3158670.023
Suitability,635211.7661,3158676.978
Suitability,636048.2802,3158685.545
Suitability,636070.4932,3158702.314
Suitability,635993.9283,3158756.945
Suitability,636000.7934,3158814.65
Suitability,635994.9934,3158302.277
Suitability,635936.3956,3158959.294
Suitability,635884.5842,3159031.168
Suitability,635794.3443,3159067.135
Suitability,635689.5978,3159139.172
Suitability,635749.6494,3159149.841
Suitability,635644.4924,3159232.069
Suitability,635642.0188,3159242.9
Suitability,636919.0263,3159148.146
Suitability,636936.6714,3159162.094
Suitability,636962.481,3159205.836
Suitability,636995.1099,3159218.628
Suitability,637024.9488,3159218.977
Suitability,637036.6731,3159220.444
Suitability,636958.9722,3159221.42
Suitability,637161.5591,3159217.472
Suitability,637183.2021,3159215.841
Suitability,637204.9787,3159202.798
Suitability,637231.0444,3159191.135
Suitability,637252.9975,3159163.022
Suitability,637291.2374,3159147.845
Suitability,637333.6614,3159143.022
Suitability,637383.8452,3159511.38
Suitability,637404.5597,3159129.779
Suitability,637465.8479,3159135.041
Suitability,637485.3358,3159125.296
Suitability,637583.9618,3159725.866
Suitability,637646.8921,3159032.664
Suitability,637680.6355,3159025.525
Suitability,637692.0376,3159021.115
Suitability,637698.6224,3159018.644
Suitability,637712.4301,3159017.698
Suitability,637707.5716,3159039.804
Suitability,637721.0454,3159042.29
Suitability,637639.1853,3159030.69
Suitability,637732.6712,3159010.511
Suitability,637739.7493,3159016.024
Suitability,637763.7483,3158997.134
Suitability,637035.5706,3158994.142
Suitability,637825.5375,3158976.473
Suitability,637831.2862,3158970.224
Suitability,637938.4604,3158917.737
Suitability,637964.4675,3158894.55
Suitability,637993.1461,3158843.911
Suitability,638029.644,3158827.275
Suitability,638202.6883,3158848.263
Suitability,638202.9991,3158821.892
Suitability,638282.0093,3158801.436
Suitability,638418.1185,3158743.422
Suitability,638444.5736,3158740.409
Suitability,638818.597,3158571.844
Suitability,638918.3502,3158469.189
Suitability,638942.0968,3158447.085
Suitability,638987.9953,3158446.632
Suitability,639009.3296,3158413.417
Suitability,639001.3881,3158389.941
Suitability,639012.67,3158371.014
Suitability,638161.2156,3158315.406
Suitability,638160.5019,3158326.147
Suitability,639043.0997,3158338.24
Suitability,639085.876,3158287.549
Suitability,639092.7181,3158304.696
Suitability,639100.443,3158296.919
Suitability,847685.7356,3171076.799
Suitability,849776.5031,3163195.819
Suitability,842335.4337,3168618.147
Suitability,841037.4726,3170205.006
Suitability,812296.1524,3167284.131
Suitability,832587.1634,3159784.227
Suitability,823110.7263,3163214.329
Suitability,833710.7068,3170986.15
Suitability,828002.9816,3167436.642
Suitability,849776.5031,3163195.819
Suitability,842335.4337,3168618.147
Suitability,841037.4726,3170205.006
Suitability,812296.1524,3167284.131
Suitability,832587.1634,3159784.227
Suitability,823110.7263,3163214.329
Suitability,833710.7068,3170986.15
Suitability,828002.9816,3167436.642
Suitability,619775.6422,3147308.511
Suitability,621974.4086,3150619.667
Suitability,615403.2177,3155959.595
Suitability,615484.4656,3155991.174
Suitability,613878.9777,3156160.164
Suitability,588788.2483,3154706.917
Suitability,588788.2483,3154706.917
Suitability,729947.9238,3147810.33
Suitability,730362.3277,3147668.302
Suitability,731394.1486,3149209.649
Suitability,753348.2594,3152984.481
Suitability,726319.9832,3148735.928
Suitability,726322.2446,3148731.968
Suitability,599632.743,3150089.644
Suitability,599738.6536,3149999.907
Suitability,599787.9256,3149985.366
Suitability,599773.3375,3150504.786
Suitability,600874.4874,3150419.001
Suitability,601085.1593,3150283.97
Suitability,601222.6893,3150264.101
Suitability,601337.1341,3150298.77
Suitability,601247.8678,3150330.355
Suitability,601189.9923,3148852.106
Suitability,603272.2153,3148870.194
Suitability,636187.9313,3157470.287
Suitability,636237.1506,3157445.371
Suitability,636178.8931,3157448.019
Suitability,636139.7296,3157424.404
Suitability,636052.2638,3157388.814
Suitability,635699.0826,3157431.377
Suitability,635648.1574,3157434.667
Suitability,635608.4533,3157474.656
Suitability,635546.0086,3157484.019
Suitability,635504.0179,3157476.331
